Post_Number,text,Sentiment,Location,Platform,Likes,Retweets
1,Enjoying a beautiful day at the park!,POS,USA,Twitter,30.0,15.0
2,Traffic was terrible this morning.,NEG,Canada,Twitter,10.0,5.0
3,Just finished an amazing workout!,POS,USA,Instagram,40.0,20.0
4,Excited about the upcoming weekend getaway!,POS,UK,Facebook,15.0,8.0
5,Trying out a new recipe for dinner tonight.,NEU,Australia,Instagram,25.0,12.0
6,Feeling grateful for the little things in life.,POS,India,Twitter,50.0,25.0
7,Rainy days call for cozy blankets and hot cocoa.,POS,Canada,Facebook,20.0,10.0
8,The new movie release is a must-watch!,POS,USA,Instagram,30.0,15.0
9,Political discussions heating up on the timeline.,NEG,USA,Twitter,60.0,30.0
10,Missing summer vibes and beach days.,NEU,Australia,Facebook,35.0,18.0
11,Just published a new blog post. Check it out!,POS,USA,Instagram,45.0,22.0
12,Feeling a bit under the weather today.,NEG,Canada,Twitter,15.0,7.0
13,Exploring the city's hidden gems.,POS,UK,Facebook,25.0,12.0
14,"New year, new fitness goals!",POS,USA,Instagram,55.0,28.0
15,Technology is changing the way we live.,NEU,India,Twitter,30.0,15.0
16,Reflecting on the past and looking ahead.,POS,USA,Facebook,40.0,20.0
17,Just adopted a cute furry friend!,POS,Canada,Instagram,30.0,15.0
18,Late-night gaming session with friends.,POS,UK,Twitter,35.0,18.0
19,Attending a virtual conference on AI.,NEU,USA,Facebook,50.0,25.0
20,Winter blues got me feeling low.,NEG,USA,Instagram,15.0,8.0
21,Sipping coffee and enjoying a good book.,POS,India,Twitter,45.0,22.0
22,Exploring the world of virtual reality.,POS,USA,Facebook,30.0,15.0
23,Productive day ticking off my to-do list.,POS,USA,Instagram,60.0,30.0
24,Just finished a challenging workout routine.,POS,UK,Twitter,40.0,20.0
25,Celebrating a milestone at work!,POS,Canada,Facebook,25.0,12.0
26,Sunday brunch with friends.,POS,UK,Instagram,30.0,15.0
27,Learning a new language for personal growth.,POS,India,Facebook,50.0,25.0
28,Quiet evening with a good book.,POS,Australia,Instagram,30.0,15.0
29,Reflecting on the importance of mental health.,POS,USA,Twitter,45.0,22.0
30,New painting in progress!,POS,Canada,Facebook,25.0,12.0
31,Weekend road trip to explore scenic views.,POS,UK,Instagram,35.0,18.0
32,Enjoying a cup of tea and watching the sunset.,POS,India,Twitter,30.0,15.0
33,Coding a new project with enthusiasm.,POS,USA,Facebook,60.0,30.0
34,Feeling inspired after attending a workshop.,POS,USA,Instagram,50.0,25.0
35,Winter sports day at the local park.,POS,Canada,Twitter,30.0,15.0
36,Quality time with family this weekend.,POS,UK,Facebook,45.0,22.0
37,Attending a live music concert tonight.,POS,USA,Instagram,35.0,18.0
38,Practicing mindfulness with meditation.,POS,India,Twitter,30.0,15.0
39,Trying out a new dessert recipe.,POS,Canada,Facebook,25.0,12.0
40,Excited about the upcoming gaming tournament.,POS,USA,Instagram,60.0,30.0
41,Planning a garden makeover for spring.,POS,USA,Twitter,50.0,25.0
42,Celebrating a friend's birthday tonight!,POS,UK,Facebook,30.0,15.0
43,Feeling accomplished after a productive day.,POS,India,Instagram,45.0,22.0
44,A cozy evening with a good movie.,POS,Canada,Twitter,35.0,18.0
45,Exploring local art galleries this weekend.,POS,USA,Facebook,30.0,15.0
46,New book release from my favorite author!,POS,UK,Instagram,25.0,12.0
47,Attending a virtual reality meetup.,POS,India,Twitter,55.0,28.0
48,Reflecting on the beauty of nature.,POS,Australia,Facebook,30.0,15.0
49,Cooking a special dinner for loved ones.,POS,USA,Instagram,40.0,20.0
50,Feeling optimistic about the week ahead.,POS,Canada,Twitter,30.0,15.0
51,Starting a new fitness challenge tomorrow!,POS,UK,Facebook,45.0,22.0
52,Sunday bike ride through scenic trails.,POS,USA,Instagram,35.0,18.0
53,Can't believe the injustice happening in our society.,NEG,Canada,Twitter,40.0,20.0
54,Feeling a sense of fear after watching a thriller movie.,NEU,USA,Instagram,30.0,15.0
55,Heartbroken after hearing the news about a natural disaster.,NEG,India,Facebook,50.0,25.0
56,The state of the world's environment is just disgusting.,NEG,UK,Twitter,35.0,18.0
57,Pure happiness: celebrating a loved one's achievement!,POS,USA,Instagram,60.0,30.0
58,Laughter is the best medicineenjoying a comedy show.,POS,Canada,Facebook,45.0,22.0
59,Sharing love and positive vibes with everyone!,POS,Australia,Twitter,30.0,15.0
60,An amusing incident brightened up my day!,NEU,UK,Instagram,35.0,18.0
61,Enjoying a quiet evening with a book and some tea.,POS,Canada,Facebook,50.0,25.0
62,Admiring the beauty of nature during a peaceful hike.,POS,USA,Twitter,40.0,20.0
63,Sending affectionate vibes to all my followers!,NEU,USA,Instagram,30.0,15.0
64,Experiencing awe at the breathtaking sunset.,POS,Australia,Facebook,45.0,22.0
65,Disappointed with the service at a local restaurant.,NEG,India,Twitter,35.0,18.0
66,A surprise gift from a friend made my day!,POS,USA,Instagram,50.0,25.0
67,Finding acceptance in the midst of life's challenges.,NEU,Canada,Facebook,30.0,15.0
68,Overflowing with adoration for my adorable pet!,NEU,UK,Twitter,45.0,22.0
69,Anticipating a thrilling adventure in the coming weeks.,POS,USA,Instagram,40.0,20.0
70,A bitter experience turned into a valuable lesson.,NEG,USA,Facebook,35.0,18.0
71,Finding calmness in the midst of a busy day.,NEU,India,Twitter,30.0,15.0
72,Confusion clouds my mind as I navigate through decisions.,NEU,UK,Instagram,50.0,25.0
73,Excitement building up for the upcoming vacation!,POS,Canada,Facebook,45.0,22.0
74,Kindness witnessed today restored my faith in humanity.,POS,USA,Twitter,40.0,20.0
75,Pride in achieving a personal milestone.,POS,Australia,Instagram,60.0,30.0
76,A moment of shame for not standing up against injustice.,NEG,India,Facebook,30.0,15.0
77,Fuming with anger after a heated argument.,NEG,Canada,Twitter,40.0,20.0
78,The fear of the unknown is keeping me up at night.,NEU,USA,Instagram,30.0,15.0
79,Heartfelt sadness after bidding farewell to a dear friend.,NEG,India,Facebook,50.0,25.0
80,The state of corruption in our society is utterly disgusting.,NEG,UK,Twitter,35.0,18.0
81,Overflowing happiness: welcoming a new family member!,POS,UK,Instagram,60.0,30.0
82,Laughter is the key to joyattending a stand-up comedy show.,POS,Canada,Facebook,45.0,22.0
83,Sending love to all my followers on this beautiful day!,POS,Australia,Twitter,30.0,15.0
84,Amused by the antics of my petit's pure amusement!,NEU,UK,Instagram,35.0,18.0
85,Enjoying every moment of this trippure enjoyment!,POS,USA,Facebook,50.0,25.0
86,Admiring the dedication of volunteers at a local charity.,POS,USA,Twitter,40.0,20.0
87,Sending affectionate vibes to friends and family.,NEU,USA,Instagram,30.0,15.0
88,Awe-struck by the beauty of the night sky.,POS,Australia,Facebook,45.0,22.0
89,Disappointed with the lack of progress in a personal project.,NEG,India,Twitter,35.0,18.0
90,A surprise visit from an old friend brought tears of joy.,POS,USA,Instagram,50.0,25.0
91,Embracing acceptance of life's ups and downs.,NEU,Canada,Facebook,30.0,15.0
92,Overflowing adoration for a cute rescue puppy!,NEU,UK,Twitter,45.0,22.0
93,Anticipating the release of a much-awaited movie.,POS,Australia,Instagram,40.0,20.0
94,Bitter experience at the customer service department.,NEG,USA,Facebook,35.0,18.0
95,Finding calmness amidst the chaos of daily life.,NEU,India,Twitter,30.0,15.0
96,Confusion reigns as I try to make sense of recent events.,NEU,UK,Instagram,50.0,25.0
97,Excitement building up for a surprise birthday party.,POS,Canada,Facebook,45.0,22.0
98,Witnessed an act of kindness that made my day.,POS,USA,Twitter,40.0,20.0
99,Pride in completing a challenging fitness challenge.,POS,UK,Instagram,60.0,30.0
100,A moment of shame for not speaking up against injustice.,NEG,India,Facebook,30.0,15.0
101,Reflecting on the beauty of diversity in our world.,NEU,Australia,Twitter,45.0,22.0
102,Excitement for a quiet evening with a good book.,POS,USA,Instagram,35.0,18.0
103,Feeling bitter about the unfairness in the workplace.,NEG,Canada,Twitter,30.0,15.0
104,Calmness prevails as I practice mindfulness.,NEU,UK,Facebook,30.0,15.0
105,Confusion surrounds me as I navigate through life's choices.,NEU,USA,Instagram,60.0,30.0
106,Excitement for a weekend road trip to explore new places.,POS,India,Twitter,50.0,25.0
107,Kindness witnessed today restores my faith in humanity.,POS,USA,Facebook,45.0,22.0
108,Pride in accomplishing personal and professional goals.,POS,Canada,Instagram,25.0,12.0
109,Shame for not being true to my values in a difficult situation.,NEG,UK,Twitter,30.0,15.0
110,"Revisiting old memories, feeling a sense of elation.",POS,Canada,Twitter,40.0,20.0
111,The victory of our team brought euphoria to the city.,NEU,USA,Instagram,30.0,15.0
