text,sentiment,platform,hashtags,country,timestamp,likes,retweets
Enjoying a beautiful day at the park!,Positive,Twitter,#Nature #Park,USA,2023-01-15 12:30:00,30.0,15.0
Traffic was terrible this morning.,Negative,Twitter,#Traffic #Morning,Canada,2023-01-15 08:45:00,10.0,5.0
Just finished an amazing workout!,Positive,Instagram,#Fitness #Workout,USA,2023-01-15 15:45:00,40.0,20.0
Excited about the upcoming weekend getaway!,Positive,Facebook,#Travel #Adventure,UK,2023-01-15 18:20:00,15.0,8.0
Trying out a new recipe for dinner tonight.,Neutral,Instagram,#Cooking #Food,Australia,2023-01-15 19:55:00,25.0,12.0
Feeling grateful for the little things in life.,Positive,Twitter,#Gratitude #PositiveVibes,India,2023-01-16 09:10:00,50.0,25.0
Rainy days call for cozy blankets and hot cocoa.,Positive,Facebook,#RainyDays #Cozy,Canada,2023-01-16 14:45:00,20.0,10.0
The new movie release is a must-watch!,Positive,Instagram,#MovieNight #MustWatch,USA,2023-01-16 19:30:00,30.0,15.0
Political discussions heating up on the timeline.,Negative,Twitter,#Politics #Debate,USA,2023-01-17 08:00:00,60.0,30.0
Missing summer vibes and beach days.,Neutral,Facebook,#Summer #BeachDays,Australia,2023-01-17 12:20:00,35.0,18.0
Just published a new blog post. Check it out!,Positive,Instagram,#Blogging #NewPost,USA,2023-01-17 15:15:00,45.0,22.0
Feeling a bit under the weather today.,Negative,Twitter,#SickDay #Health,Canada,2023-01-18 10:30:00,15.0,7.0
Exploring the city's hidden gems.,Positive,Facebook,#CityExplore #HiddenGems,UK,2023-01-18 14:50:00,25.0,12.0
"New year, new fitness goals!",Positive,Instagram,#NewYear #FitnessGoals,USA,2023-01-18 18:00:00,55.0,28.0
Technology is changing the way we live.,Neutral,Twitter,#Tech #Innovation,India,2023-01-19 09:45:00,30.0,15.0
Reflecting on the past and looking ahead.,Positive,Facebook,#Reflection #Future,USA,2023-01-19 13:20:00,40.0,20.0
Just adopted a cute furry friend!,Positive,Instagram,#PetAdoption #FurryFriend,Canada,2023-01-19 17:10:00,30.0,15.0
Late-night gaming session with friends.,Positive,Twitter,#Gaming #LateNight,UK,2023-01-20 00:05:00,35.0,18.0
Attending a virtual conference on AI.,Neutral,Facebook,#AI #TechConference,USA,2023-01-20 11:30:00,50.0,25.0
Winter blues got me feeling low.,Negative,Instagram,#WinterBlues #Mood,USA,2023-01-20 15:15:00,15.0,8.0
Sipping coffee and enjoying a good book.,Positive,Twitter,#Reading #CoffeeTime,India,2023-01-21 08:40:00,45.0,22.0
Exploring the world of virtual reality.,Positive,Facebook,#VR #VirtualReality,USA,2023-01-21 13:20:00,30.0,15.0
Productive day ticking off my to-do list.,Positive,Instagram,#Productivity #WorkFromHome,USA,2023-01-21 16:45:00,60.0,30.0
Just finished a challenging workout routine.,Positive,Twitter,#Fitness #ChallengeAccepted,UK,2023-01-22 09:15:00,40.0,20.0
Celebrating a milestone at work!,Positive,Facebook,#Career #Milestone,Canada,2023-01-22 14:30:00,25.0,12.0
Sunday brunch with friends.,Positive,Instagram,#Brunch #Friends,UK,2023-01-22 12:00:00,30.0,15.0
Learning a new language for personal growth.,Positive,Facebook,#LanguageLearning #PersonalGrowth,India,2023-01-23 16:20:00,50.0,25.0
Quiet evening with a good book.,Positive,Instagram,#Reading #QuietTime,Australia,2023-01-23 19:45:00,30.0,15.0
Reflecting on the importance of mental health.,Positive,Twitter,#MentalHealth #SelfCare,USA,2023-01-24 11:30:00,45.0,22.0
New painting in progress!,Positive,Facebook,#Art #PaintingInProgress,Canada,2023-01-24 15:00:00,25.0,12.0
Weekend road trip to explore scenic views.,Positive,Instagram,#RoadTrip #ScenicViews,UK,2023-01-24 17:30:00,35.0,18.0
Enjoying a cup of tea and watching the sunset.,Positive,Twitter,#TeaTime #Sunset,India,2023-01-25 18:00:00,30.0,15.0
Coding a new project with enthusiasm.,Positive,Facebook,#Coding #Enthusiasm,USA,2023-01-25 13:15:00,60.0,30.0
Feeling inspired after attending a workshop.,Positive,Instagram,#Inspiration #Workshop,USA,2023-01-26 09:45:00,50.0,25.0
Winter sports day at the local park.,Positive,Twitter,#WinterSports #Fun,Canada,2023-01-26 14:20:00,30.0,15.0
Quality time with family this weekend.,Positive,Facebook,#FamilyTime #Weekend,UK,2023-01-26 17:40:00,45.0,22.0
Attending a live music concert tonight.,Positive,Instagram,#Music #ConcertNight,USA,2023-01-27 20:00:00,35.0,18.0
Practicing mindfulness with meditation.,Positive,Twitter,#Mindfulness #Meditation,India,2023-01-27 12:30:00,30.0,15.0
Trying out a new dessert recipe.,Positive,Facebook,#Dessert #Cooking,Canada,2023-01-27 16:10:00,25.0,12.0
Excited about the upcoming gaming tournament.,Positive,Instagram,#Gaming #Tournament,USA,2023-01-28 09:00:00,60.0,30.0
Planning a garden makeover for spring.,Positive,Twitter,#Gardening #Spring,USA,2023-01-28 14:45:00,50.0,25.0
Celebrating a friend's birthday tonight!,Positive,Facebook,#Birthday #Celebration,UK,2023-01-28 19:30:00,30.0,15.0
Feeling accomplished after a productive day.,Positive,Instagram,#Accomplished #Success,India,2023-01-29 17:00:00,45.0,22.0
A cozy evening with a good movie.,Positive,Twitter,#CozyNight #MovieTime,Canada,2023-01-29 20:20:00,35.0,18.0
Exploring local art galleries this weekend.,Positive,Facebook,#Art #GalleryExplore,USA,2023-01-30 11:30:00,30.0,15.0
New book release from my favorite author!,Positive,Instagram,#BookRelease #FavoriteAuthor,UK,2023-01-30 15:45:00,25.0,12.0
Attending a virtual reality meetup.,Positive,Twitter,#VRMeetup #VirtualReality,India,2023-01-30 18:30:00,55.0,28.0
Reflecting on the beauty of nature.,Positive,Facebook,#Nature #Reflection,Australia,2023-01-31 10:45:00,30.0,15.0
Cooking a special dinner for loved ones.,Positive,Instagram,#Cooking #SpecialDinner,USA,2023-01-31 19:00:00,40.0,20.0
Feeling optimistic about the week ahead.,Positive,Twitter,#Optimism #NewWeek,Canada,2023-01-31 16:20:00,30.0,15.0
Starting a new fitness challenge tomorrow!,Positive,Facebook,#FitnessChallenge #NewBeginnings,UK,2023-02-01 08:00:00,45.0,22.0
Sunday bike ride through scenic trails.,Positive,Instagram,#BikeRide #ScenicTrails,USA,2023-02-01 13:30:00,35.0,18.0
Can't believe the injustice happening in our society.,Anger,Twitter,#Injustice #Angry,Canada,2023-02-11 09:30:00,40.0,20.0
Feeling a sense of fear after watching a thriller movie.,Fear,Instagram,#Fear #ThrillerMovie,USA,2023-02-11 21:15:00,30.0,15.0
Heartbroken after hearing the news about a natural disaster.,Sadness,Facebook,#Sadness #NaturalDisaster,India,2023-02-12 14:45:00,50.0,25.0
The state of the world's environment is just disgusting.,Disgust,Twitter,#Disgust #Environment,UK,2023-02-12 18:20:00,35.0,18.0
Pure happiness: celebrating a loved one's achievement!,Happiness,Instagram,#Happiness #Celebration,USA,2023-02-13 10:00:00,60.0,30.0
Laughter is the best medicineenjoying a comedy show.,Joy,Facebook,#Joy #ComedyShow,Canada,2023-02-13 19:30:00,45.0,22.0
Sharing love and positive vibes with everyone!,Love,Twitter,#Love #SpreadLove,Australia,2023-02-14 08:30:00,30.0,15.0
An amusing incident brightened up my day!,Amusement,Instagram,#Amusement #FunTimes,UK,2023-02-14 14:20:00,35.0,18.0
Enjoying a quiet evening with a book and some tea.,Enjoyment,Facebook,#Enjoyment #BookTime,Canada,2023-02-14 19:45:00,50.0,25.0
Admiring the beauty of nature during a peaceful hike.,Admiration,Twitter,#Admiration #Nature,USA,2023-02-15 11:30:00,40.0,20.0
Sending affectionate vibes to all my followers!,Affection,Instagram,#Affection #PositiveVibes,USA,2023-02-15 16:00:00,30.0,15.0
Experiencing awe at the breathtaking sunset.,Awe,Facebook,#Awe #Breathtaking,Australia,2023-02-15 20:30:00,45.0,22.0
Disappointed with the service at a local restaurant.,Disappointed,Twitter,#Disappointed #BadService,India,2023-02-16 09:00:00,35.0,18.0
A surprise gift from a friend made my day!,Surprise,Instagram,#Surprise #Gift,USA,2023-02-16 14:45:00,50.0,25.0
Finding acceptance in the midst of life's challenges.,Acceptance,Facebook,#Acceptance #Challenges,Canada,2023-02-16 18:20:00,30.0,15.0
Overflowing with adoration for my adorable pet!,Adoration,Twitter,#Adoration #PetLove,UK,2023-02-17 10:45:00,45.0,22.0
Anticipating a thrilling adventure in the coming weeks.,Anticipation,Instagram,#Anticipation #Adventure,USA,2023-02-17 07:30:00,40.0,20.0
A bitter experience turned into a valuable lesson.,Bitter,Facebook,#BitterLesson #Growth,USA,2023-02-17 15:00:00,35.0,18.0
Finding calmness in the midst of a busy day.,Calmness,Twitter,#Calmness #PeacefulMind,India,2023-02-18 09:30:00,30.0,15.0
Confusion clouds my mind as I navigate through decisions.,Confusion,Instagram,#Confusion #DecisionMaking,UK,2023-02-18 14:20:00,50.0,25.0
Excitement building up for the upcoming vacation!,Excitement,Facebook,#Excitement #TravelPlans,Canada,2023-02-18 18:45:00,45.0,22.0
Kindness witnessed today restored my faith in humanity.,Kind,Twitter,#Kindness #Humanity,USA,2023-02-19 11:30:00,40.0,20.0
Pride in achieving a personal milestone.,Pride,Instagram,#Pride #Milestone,Australia,2023-02-19 16:00:00,60.0,30.0
A moment of shame for not standing up against injustice.,Shame,Facebook,#Shame #Injustice,India,2023-02-19 19:45:00,30.0,15.0
Fuming with anger after a heated argument.,Anger,Twitter,#Anger #Argument,Canada,2023-02-20 09:30:00,40.0,20.0
The fear of the unknown is keeping me up at night.,Fear,Instagram,#Fear #Unknown,USA,2023-02-20 21:15:00,30.0,15.0
Heartfelt sadness after bidding farewell to a dear friend.,Sadness,Facebook,#Sadness #Farewell,India,2023-02-21 14:45:00,50.0,25.0
The state of corruption in our society is utterly disgusting.,Disgust,Twitter,#Disgust #Corruption,UK,2023-02-21 18:20:00,35.0,18.0
Overflowing happiness: welcoming a new family member!,Happiness,Instagram,#Happiness #NewFamilyMember,UK,2023-02-22 10:00:00,60.0,30.0
Laughter is the key to joyattending a stand-up comedy show.,Joy,Facebook,#Joy #StandUpComedy,Canada,2023-02-22 19:30:00,45.0,22.0
Sending love to all my followers on this beautiful day!,Love,Twitter,#Love #SpreadLove,Australia,2023-02-23 08:30:00,30.0,15.0
Amused by the antics of my petit's pure amusement!,Amusement,Instagram,#Amusement #PetAntics,UK,2023-02-23 14:20:00,35.0,18.0
Enjoying every moment of this trippure enjoyment!,Enjoyment,Facebook,#Enjoyment #Travel,USA,2023-02-23 19:45:00,50.0,25.0
Admiring the dedication of volunteers at a local charity.,Admiration,Twitter,#Admiration #Volunteers,USA,2023-02-24 11:30:00,40.0,20.0
Sending affectionate vibes to friends and family.,Affection,Instagram,#Affection #FamilyLove,USA,2023-02-24 16:00:00,30.0,15.0
Awe-struck by the beauty of the night sky.,Awe,Facebook,#Awe #StarryNight,Australia,2023-02-24 20:30:00,45.0,22.0
Disappointed with the lack of progress in a personal project.,Disappointed,Twitter,#Disappointed #Project,India,2023-02-25 09:00:00,35.0,18.0
A surprise visit from an old friend brought tears of joy.,Surprise,Instagram,#Surprise #OldFriends,USA,2023-02-25 14:45:00,50.0,25.0
Embracing acceptance of life's ups and downs.,Acceptance,Facebook,#Acceptance #LifeJourney,Canada,2023-02-25 18:20:00,30.0,15.0
Overflowing adoration for a cute rescue puppy!,Adoration,Twitter,#Adoration #PuppyLove,UK,2023-02-26 10:45:00,45.0,22.0
Anticipating the release of a much-awaited movie.,Anticipation,Instagram,#Anticipation #MovieRelease,Australia,2023-02-26 07:30:00,40.0,20.0
Bitter experience at the customer service department.,Bitter,Facebook,#BitterExperience #CustomerService,USA,2023-02-26 15:00:00,35.0,18.0
Finding calmness amidst the chaos of daily life.,Calmness,Twitter,#Calmness #InnerPeace,India,2023-02-27 09:30:00,30.0,15.0
Confusion reigns as I try to make sense of recent events.,Confusion,Instagram,#Confusion #MakingSense,UK,2023-02-27 14:20:00,50.0,25.0
Excitement building up for a surprise birthday party.,Excitement,Facebook,#Excitement #SurpriseParty,Canada,2023-02-27 18:45:00,45.0,22.0
Witnessed an act of kindness that made my day.,Kind,Twitter,#Kindness #ActsOfKindness,USA,2023-02-28 11:30:00,40.0,20.0
Pride in completing a challenging fitness challenge.,Pride,Instagram,#Pride #FitnessChallengeCompleted,UK,2023-02-28 16:00:00,60.0,30.0
A moment of shame for not speaking up against injustice.,Shame,Facebook,#Shame #Injustice,India,2023-02-28 19:45:00,30.0,15.0
Reflecting on the beauty of diversity in our world.,Acceptance,Twitter,#Acceptance #Diversity,Australia,2023-03-01 10:45:00,45.0,22.0
Excitement for a quiet evening with a good book.,Excitement,Instagram,#Excitement #BookTime,USA,2023-03-01 13:30:00,35.0,18.0
Feeling bitter about the unfairness in the workplace.,Bitter,Twitter,#Bitter #Unfairness,Canada,2023-03-01 17:45:00,30.0,15.0
Calmness prevails as I practice mindfulness.,Calmness,Facebook,#Calmness #Mindfulness,UK,2023-03-02 18:00:00,30.0,15.0
Confusion surrounds me as I navigate through life's choices.,Confusion,Instagram,#Confusion #LifeChoices,USA,2023-03-02 13:15:00,60.0,30.0
Excitement for a weekend road trip to explore new places.,Excitement,Twitter,#Excitement #WeekendAdventure,India,2023-03-02 16:45:00,50.0,25.0
Kindness witnessed today restores my faith in humanity.,Kind,Facebook,#Kindness #HumanityRestored,USA,2023-03-03 11:30:00,45.0,22.0
Pride in accomplishing personal and professional goals.,Pride,Instagram,#Pride #Accomplishments,Canada,2023-03-03 14:30:00,25.0,12.0
Shame for not being true to my values in a difficult situation.,Shame,Twitter,#Shame #Integrity,UK,2023-03-03 12:00:00,30.0,15.0
"Revisiting old memories, feeling a sense of elation.",Elation,Twitter,#Elation #Memories,Canada,2010-05-15 15:30:00,40.0,20.0
The victory of our team brought euphoria to the city.,Euphoria,Instagram,#Euphoria #Victory,USA,2021-08-10 21:15:00,30.0,15.0
"Embracing the beauty of nature, a moment of contentment.",Contentment,Facebook,#Contentment #Nature,India,2011-06-20 14:45:00,50.0,25.0
"Meditating by the serene lake, finding inner peace.",Serenity,Twitter,#Serenity #Meditation,UK,2022-02-12 18:20:00,35.0,18.0
Overflowing with gratitude for life's blessings.,Gratitude,Instagram,#Gratitude #Blessed,Australia,2012-11-25 10:00:00,60.0,30.0
"Hopeful for a brighter tomorrow, despite challenges.",Hope,Facebook,#Hope #Optimism,USA,2013-04-05 19:30:00,45.0,22.0
Empowered to make a difference in my community.,Empowerment,Twitter,#Empowerment #Community,UK,2014-09-14 08:30:00,30.0,15.0
Compassion in action: supporting a local charity event.,Compassion,Instagram,#Compassion #CharityEvent,Canada,2015-07-18 14:20:00,35.0,18.0
